y1,y2
CP018167.1,AAPK1_PONAB
CP018167.1,AAPK1_PONAB
CP018167.1,AAPK1_PONAB
XM_017562872.1,ABL_DROME
XM_012715098.1,ABL_DROME
XM_012715098.1,ABL_DROME
XM_012715098.1,ACR1_ACIAD
XM_012715098.1,ACBG2_MOUSE
XM_012715098.1,ABAH2_SOLLC
XM_020848883.1,ABAH2_SOLLC
XM_022048264.1,ABAH2_SOLLC
XM_024170716.1,343L_IIV6
XM_024170716.1,343L_IIV6
XM_024170716.1,3BHD_COMTE
XM_020233208.1,ACR1_ACIAD
XM_020233208.1,AAPK2_CAEEL
XR_903839.1,ABCB5_HUMAN
XM_008447855.2,ABCB5_HUMAN
XM_008447855.2,ABCB5_HUMAN
XR_903838.1,ABCB5_HUMAN
XM_024665789.1,ABCB5_HUMAN
XM_011657269.1,ABCB5_HUMAN
XM_011657269.1,ABCB5_HUMAN
XR_903838.1,ABCB5_HUMAN
XM_024665789.1,A1CF_MOUSE
XM_008447855.2,ACCR4_ARATH
XR_903839.1,ACCR4_ARATH
XR_903839.1,ACCR4_ARATH
CP009545.1,ACCR4_ARATH
XM_009413565.2,ACCR4_ARATH
XM_009413565.2,ACCR4_ARATH
XM_009413565.2,ACCR4_ARATH
XM_025337406.1,ACCR4_ARATH
XM_025337406.1,ACCR4_ARATH
XM_025337406.1,ACCR4_ARATH
NG_041784.1,ACCR4_ARATH
XM_008877749.1,ACCR4_ARATH
XM_009536765.1,ACDS_CLOAB
LN835309.1,ACBP_CHICK
XM_014203343.1,ACRO_MELGA
XM_012830119.1,ACRO_MELGA
XM_018418630.1,ABAF_ACIBT
XM_018418630.1,ABTB2_RAT
X07798.1,AAP1_YEAST
X07798.1,AAP1_YEAST
XM_002514946.3,ACER3_MOUSE
XM_002514946.3,A1CF_MOUSE
XM_002514946.3,A1CF_MOUSE
XM_010448849.2,A1CF_RAT
XM_012211112.2,A1CF_RAT
XM_012211112.2,A1CF_RAT
XM_012211112.2,A1CF_RAT
XM_012211112.2,A1CF_RAT
XM_012211112.2,A1CF_RAT
CP016447.1,A1CF_MOUSE
XM_012976454.1,A1CF_MOUSE
XM_012976454.1,A1CF_RAT
XM_012976454.1,A1CF_RAT
XM_012976454.1,A1CF_RAT
XM_012976454.1,A1CF_RAT
XM_012976454.1,A1CF_MOUSE
XM_012976454.1,A1CF_MOUSE
XM_012976454.1,ACR4L_ARATH
XM_012976454.1,ACR4L_ARATH
XM_002275671.3,209L2_MACMU
XM_002275671.3,ACR4L_ARATH
AK108751.1,ACCR4_ARATH
NG_011631.1,ACR_MYCTU
XM_024028729.1,ACR_MYCTU
XM_024028729.1,ACR_MYCTU
XM_024028729.1,ACR_MYCTU
XM_021422440.1,AAC3_DICDI
XM_024028729.1,AAC3_DICDI
XM_009790497.1,AAC3_DICDI
XM_009790497.1,AAC3_DICDI
KJ708329.1,AAC3_DICDI
XM_001698324.1,AAC3_DICDI
XM_001698324.1,AAC3_DICDI
XM_002508162.1,AAC3_DICDI
XR_002586769.1,AAC3_DICDI
XM_022172041.1,AAC3_DICDI
XM_015807561.1,AAC3_DICDI
XM_015807561.1,AAC3_DICDI
XM_010700471.1,ACO1_AJECA
XM_010700471.1,2AAA_DICDI
XM_010700471.1,ACOCT_ACEAC
XM_010700471.1,3AHDP_RUMGV
XM_010700471.1,3AHDP_RUMGV
XM_012222808.2,3AHDP_RUMGV
XM_022691034.1,3AHDP_RUMGV
XM_012222808.2,075L_FRG3G
XM_022906542.1,075L_FRG3G
XM_017383683.1,4F2_HUMAN
XM_017383683.1,4F2_HUMAN
XM_017383683.1,AATPK_ARATH
XM_017383683.1,AATPC_ARATH
XM_017383683.1,ACNB_ECOLI
XM_017383683.1,ACA11_ARATH
XM_017383683.1,AAPK1_PONAB
XM_002874992.2,ACL7A_BOVIN
XM_007879449.1,ACL7A_BOVIN
LR031899.1,AAPK2_CAEEL
LR031899.1,AAPK1_CAEEL
LR031899.1,AAPK2_CAEEL
LR031899.1,AAPK1_CAEEL
LR031899.1,ABLM1_MOUSE
LR031899.1,ABLM1_MOUSE
LR031899.1,7LESS_DROVI
LR031899.1,A37C_DROME
LR031899.1,A37C_DROME
LR031899.1,ACA11_ARATH
LR031899.1,ACA11_ARATH
LR031899.1,3AHDP_RUMGV
LR031899.1,ACE2_YEAST
LR031899.1,ACBP2_ARATH
LR031899.1,ACBP2_ARATH
LR031899.1,ACBP2_ARATH
LR031899.1,ACBP2_ARATH
LR031899.1,ACBP2_ARATH
AM460165.1,ACBP2_ARATH
AM460165.1,ACBP2_ARATH
AM460165.1,ACBP2_ARATH
AM460165.1,ACBP2_ARATH
XM_021785119.1,ACBP2_ARATH
XM_021785119.1,ACBP2_ARATH
XM_003816161.2,ACBP2_ARATH
XM_016037607.2,ACBP2_ARATH
XM_020229238.1,ACBP2_ARATH
XM_016037607.2,ACBP2_ARATH
XM_018953084.1,ACBP2_ARATH
XM_018953084.1,ACBP2_ARATH
XM_016037607.2,ACBP2_ARATH
XM_016037607.2,ACBP2_ARATH
XM_018953084.1,ACBP2_ARATH
XM_016037607.2,ACBP2_ARATH
CP027792.1,ACBP2_ARATH
CP027792.1,ACBP2_ARATH
CP002449.1,ACBP2_ARATH
NG_007454.1,ACBP2_ARATH
XM_008806692.1,ACBP2_ARATH
LR031887.1,ACBP2_ARATH
XM_008806692.1,ACBP2_ARATH
XM_014624899.1,ACBP2_ARATH
XM_022145587.1,ACBP2_ARATH
XM_017155006.1,ACBP2_ARATH
XM_017155006.1,ACBP2_ARATH
XM_017155006.1,ACBP2_ARATH
XM_017155006.1,ACBP2_ARATH
AK369359.1,ACBP2_ARATH
XM_022874220.1,ACBP2_ARATH
XM_019331524.1,ACBP2_ARATH
XM_024834251.1,ACBP2_ARATH
XM_024834251.1,ACBP2_ARATH
XM_014798528.1,ACBP2_ARATH
XM_014798528.1,ACBP2_ARATH
XM_003624327.3,ACBP2_ARATH
XM_003624327.3,ACBP2_ARATH
XM_003624327.3,ACBP2_ARATH
XM_003624327.3,ACBP2_ARATH
XM_003624327.3,ACBP2_ARATH
XM_003624327.3,ACBP2_ARATH
XM_003624327.3,ACBP2_ARATH
XM_016725525.1,ACBP2_ARATH
XM_016725525.1,ACBP2_ARATH
XM_016725525.1,ACBP2_ARATH
XM_016725525.1,ACBP2_ARATH
XM_016725525.1,ACBP2_ARATH
XM_016725525.1,ACBP2_ARATH
BX640686.1,ACBP2_ARATH
XM_018975808.1,ACBP2_ARATH
XM_018975808.1,ACBP2_ARATH
XM_018975808.1,ACBP2_ARATH
XM_018975808.1,ACBP2_ARATH
XM_023107605.1,ACBP2_ARATH
AK369365.1,ACBP5_ARATH
XM_020691263.1,ACBP4_ARATH
XM_020691263.1,ACBP4_ARATH
XM_020691263.1,ACBP4_ARATH
XM_020691263.1,ACBP4_ARATH
XM_020691263.1,ACBP4_ARATH
XM_022144502.1,ACBP6_ORYSJ
XM_022144502.1,ACBP6_ORYSJ
XM_020691263.1,ACBP6_ORYSJ
XM_020691263.1,ACBP6_ORYSJ
XM_020472329.1,ACBP4_ARATH
XM_024312706.1,ACBP4_ARATH
XM_024312706.1,ACOB_BACSU
XM_024066529.1,ACOB_BACSU
XM_024312706.1,ACA7_ORYSJ
CP012640.2,A2GL_HUMAN
XM_021775472.1,AB15G_ARATH
XM_021775472.1,AAT_MYCTU
XM_003031547.1,AAT_MYCTU
XM_014040082.1,AAT_MYCTU
XM_007883589.1,AAT_MYCTU
XM_020739868.1,ACR1_ACIAD
XM_007884102.1,ACR1_ACIAD
XM_014222131.1,AA7GT_DELGR
NR_144568.1,AA7GT_DELGR
XM_015794457.2,AA7GT_DELGR
XM_019907652.1,AA7GT_DELGR
XM_003526944.4,AA7GT_DELGR
XM_003526944.4,AA7GT_DELGR
XM_003526944.4,AA7GT_DELGR
XM_003526944.4,AA7GT_DELGR
XM_003526944.4,AA7GT_DELGR
XM_003526944.4,AA7GT_DELGR
XM_003526944.4,AA7GT_DELGR
XM_003526944.4,ACPA_EMENI
XM_019853712.1,AAPK1_MOUSE
XM_024021916.1,ACP1_ENTHI
XM_010325327.3,6PGL4_ORYSJ
XM_010325327.3,6PGL4_ORYSJ
XM_024021916.1,6PGL4_ORYSJ
XM_024021916.1,6PGL4_ORYSJ
XM_024021916.1,ACO11_SPOLI
XM_024021916.1,A2GL_HUMAN
XM_024680359.1,A2GL_HUMAN
XM_024680359.1,A2GL_HUMAN
LT594795.1,A2GL_HUMAN
XM_024680359.1,A2GL_HUMAN
LT594795.1,A2GL_HUMAN
XM_024680359.1,A2GL_HUMAN
XM_004360872.1,A2GL_HUMAN
XM_014811953.1,A2GL_HUMAN
XM_017580896.1,A2GL_HUMAN
XM_017580896.1,A2GL_HUMAN
XM_023015164.1,A2GL_HUMAN
AC277945.1,A2GL_HUMAN
AC256301.1,ACO12_RAT
AC256301.1,ACO12_RAT
FN329252.1,AAPK1_CAEEL
XM_010252678.2,AAPK1_CAEEL
XM_010252678.2,AAPK1_CAEEL
XM_010252678.2,ACBP_DICDI
XM_008381455.2,A1CF_MOUSE
XM_008381455.2,ACS1_HAEIF
CP027626.1,AAAT_HUMAN
XM_006582855.3,AAAT_RABIT
XM_006582855.3,ACAP1_MOUSE
XM_002265057.2,ACAP1_MOUSE
KY528320.1,ACAP1_MOUSE
KY528320.1,AAP2_ARATH
KY528320.1,AAP5_ARATH
KY528320.1,AAP3_ARATH
KY528320.1,AAP3_ARATH
KY528320.1,AAP2_ARATH
KY528320.1,4F2_HUMAN
KY528320.1,4F2_HUMAN
KY528335.1,9DC3_SOLPI
LR031873.1,1CPX_DIRIM
XM_022289124.1,AAPK1_PONAB
XM_022289124.1,AAPK1_PONAB
XM_004139269.2,AAPK1_PONAB
DQ207583.1,AAPK1_MOUSE
KY859412.1,AAPK1_RAT
CP028289.1,AAIP_WHEAT
AY268046.1,AAIP_WHEAT
AY490224.1,AAPK2_CAEEL
AY490224.1,AAPK2_CAEEL
AY490224.1,AAPK1_RAT
XM_007818981.1,AAPK2_CAEEL
XM_007818981.1,AAPK1_HUMAN
XM_009522485.1,AAPK1_HUMAN
XM_015837030.1,AAPK1_MOUSE
XM_026535605.1,AAIP_WHEAT
XM_026535605.1,ACR4L_ARATH
XM_026535605.1,AAPK1_CAEEL
XM_026535605.1,AAPK2_CAEEL
MH003851.1,AAPK2_CAEEL
MH003851.1,AAPK2_CAEEL
XM_012978076.1,AAPK2_CAEEL
XM_012978076.1,AAPK1_CAEEL
XM_012978076.1,AAPK1_CAEEL
XM_012978076.1,AAPK1_CAEEL
XM_012978076.1,AAPK1_CAEEL
XM_012978076.1,ACCR4_ARATH
XM_001842355.1,389L_IIV6
XM_001842355.1,A16L1_CAEEL
XM_004236664.4,A16L1_CAEEL
XM_004236664.4,A16L1_CAEEL
XM_004236664.4,A16L1_CAEEL
XM_014634993.2,ACL6B_HUMAN
XM_004503837.2,ACL6B_HUMAN
XM_020194778.1,ACL6B_HUMAN
XM_004503837.2,ACL7A_RAT
XM_014634993.2,AARA_DICDI
XM_017996729.1,AARA_DICDI
XM_003055197.1,AARA_DICDI
CP019236.1,AARA_DICDI
XM_023039692.1,AARA_DICDI
XM_022157162.1,AARA_DICDI
XM_023039692.1,AARA_DICDI
XM_023039692.1,AARA_DICDI
XM_023039692.1,AARA_DICDI
XM_023039692.1,A16L1_CAEEL
XM_012986658.1,A16L1_CAEEL
XM_012986658.1,A16L1_CAEEL
XM_012986658.1,ACR4L_ARATH
XM_012986658.1,ACR4L_ARATH
XM_012986658.1,ACR4L_ARATH
XM_012986658.1,ACR4L_ARATH
XM_012986658.1,9DC3_SOLPI
XM_012986658.1,ACR4L_ARATH
XM_012986658.1,ACR4L_ARATH
XM_012986658.1,ACR4L_ARATH
XM_012986658.1,ACR4L_ARATH
XM_012986658.1,ACLR_ACHOB
XM_012986658.1,AA7GT_DELGR
XM_012986658.1,AA7GT_DELGR
XM_012986658.1,AA7GT_DELGR
XM_012986658.1,AA7GT_DELGR
XM_012986658.1,AA7GT_DELGR
XM_012986658.1,7LESS_DROVI
XM_012986658.1,7LESS_DROVI
XM_012986658.1,ACL7B_MOUSE
XM_012986658.1,ABAH2_ARATH
XM_012986658.1,ABAH2_ARATH
XM_026576881.1,ABAH2_ARATH
XM_015332856.1,ABAH2_ARATH
XM_015332856.1,ABAH2_ARATH
CP023757.1,ABAH2_ARATH
AF157245.1,ABAH2_ARATH
CP011509.1,ACPH1_APIME
CP002102.1,AAC3_DICDI
XM_017638348.1,AAC3_DICDI
CP011509.1,AAPK1_CAEEL
XM_015233144.1,4F2_HUMAN
XM_015233144.1,4FTAS_STRCT
XM_015233144.1,4FTAS_STRCT
XM_015233144.1,AAIP_WHEAT
NG_032108.1,AAIP_WHEAT
XM_022919856.1,AAIP_WHEAT
XM_022919856.1,AAIP_WHEAT
XM_022919856.1,ACRO_SHEEP
XM_022919856.1,ACR4L_ARATH
XM_022919856.1,AAPK1_CAEEL
XM_022919856.1,ACR4L_ARATH
NG_011443.1,ACCR4_ARATH
NG_011443.1,ACCR4_ARATH
NG_011443.1,ACCR4_ARATH
KJ595527.1,389L_IIV6
XM_026034360.1,ACCR2_ARATH
XM_026034360.1,7B2_XENLA
XM_004296380.2,7B2_XENLA
KF652104.1,7B2_XENLA
KF652104.1,7B2_XENLA
LT670819.1,7B2_XENLA
XM_012416063.2,7B2_XENLA
XM_003053476.1,7B2_XENLA
XM_019248330.1,7B2_XENLA
XM_026585369.1,A1CF_PONAB
XM_018965438.1,A1CF_PONAB
XM_017374449.1,A16L1_MOUSE
XM_017550672.1,7TMK1_DICDI
XM_018965438.1,9DC3_SOLPI
LT608205.1,9DC3_SOLPI
LR129738.1,9DC3_SOLPI
EF095544.1,9DC3_SOLPI
EF095544.1,9DC3_SOLPI
XM_024027623.1,9DC3_SOLPI
XM_004350313.1,9DC3_SOLPI
LT962477.1,9DC3_SOLPI
LT962477.1,9DC3_SOLPI
XM_026739436.1,9DC3_SOLPI
XM_019198646.1,9DC3_SOLPI
XM_019313745.1,9DC3_SOLPI
XM_019313745.1,9DC3_SOLPI
XM_019313745.1,9DC3_SOLPI
XM_010518370.1,9DC3_SOLPI
XM_010518370.1,9DC3_SOLPI
XM_010518370.1,9DC3_SOLPI
XM_019313745.1,9DC3_SOLPI
XM_019313745.1,9DC3_SOLPI
XM_019313745.1,9DC3_SOLPI
XM_019313745.1,9DC3_SOLPI
XM_010518370.1,9DC3_SOLPI
NM_015356.4,9DC3_SOLPI
CP023124.1,9DC3_SOLPI
CP023124.1,9DC3_SOLPI
XM_010511972.1,9DC3_SOLPI
CP000089.1,9DC3_SOLPI
XM_010092887.2,9DC3_SOLPI
XM_010092887.2,9DC3_SOLPI
XM_024039176.1,9DC3_SOLPI
XM_019151986.1,9DC3_SOLPI
XM_001693945.1,9DC3_SOLPI
XM_014808062.1,9DC3_SOLPI
XM_011093843.2,9DC3_SOLPI
XM_017751669.1,9DC3_SOLPI
XM_017751669.1,9DC3_SOLPI
KT886406.1,9DC3_SOLPI
CP021435.1,9DC3_SOLPI
LN835306.1,ACOA_BACSU
XM_026525960.1,9DC3_SOLPI
XM_013611615.2,9DC3_SOLPI
XM_013611615.2,9DC3_SOLPI
CP030984.1,9DC3_SOLPI
XM_013611615.2,9DC3_SOLPI
CP030984.1,9DC3_SOLPI
LT607803.1,A1CF_MOUSE
XM_015976620.1,A1CF_HUMAN
XM_015976620.1,A1CF_MOUSE
XM_015976620.1,A1CF_MOUSE
XM_016004186.1,ACHA7_CHICK
XM_016004186.1,1A1D_THEMA
XM_016004186.1,1A1D_BRADU
XM_018165637.1,1A1D_BRADU
XM_018165637.1,ABH6A_XENLA
XM_016004186.1,ABH6A_XENLA
XM_016004186.1,7SBG2_SOYBN
AC011236.8,ACR1_ACIAD
AC011236.8,ACR1_ACIAD
AC011236.8,ACR1_ACIAD
AC011236.8,ACR1_ACIAD
AC011236.8,ACR1_ACIAD
AC011236.8,ACR1_ACIAD
AC011236.8,ACR1_ACIAD
AC011236.8,ACR4L_ARATH
AC011236.8,ACET6_CERPU
AC011236.8,ACCR4_ARATH
AC011236.8,ACCR4_ARATH
AC011236.8,21KD_DAUCA
AC011236.8,ABL_DROME
AC011236.8,ACR4L_ARATH
AC011236.8,86A22_PETHY
AC011236.8,86A22_PETHY
AC011236.8,ACE2_CANGA
AC011236.8,ABR1_ARATH
AC011236.8,ABR1_ARATH
AC011236.8,ABR1_ARATH
AC011236.8,ABR1_ARATH
AC011236.8,ACP1_ENTHI
AC011236.8,ACP1_ENTHI
AC011236.8,3BHS2_HUMAN
AC011236.8,AAPK1_CAEEL
AC011236.8,ACRO_MELGA
AC011236.8,ACAR_SULTO
AC011236.8,ACAR_SULTO
AC011236.8,ACAR_SULTO
AC011236.8,AAP1_ARATH
AC011236.8,AAP1_ARATH
AC011236.8,ACM3_MOUSE
AC011236.8,ACKL_DROME
AC011236.8,ACKL_DROME
AC011236.8,ACKL_DROME
CP025672.1,ACKL_DROME
CP025672.1,ACKL_DROME
NM_001328863.1,ACKL_DROME
NM_001328863.1,ACKL_DROME
EF517356.1,ACKL_DROME
EF517356.1,ACKL_DROME
XM_004955751.3,ACKL_DROME
XM_004996230.1,ACKL_DROME
XM_004996230.1,ACKL_DROME
LR129820.1,ACKL_DROME
XM_009523043.1,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_018974466.1,ACKL_DROME
XM_018974466.1,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_009339271.2,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_018974466.1,ACCO1_CUCME
XM_009346018.2,ACKL_DROME
XM_009346018.2,ACKL_DROME
XM_019871912.1,3AHDP_RUMGV
XM_012216664.2,3AHDP_RUMGV
LT594793.1,ABI2_HUMAN
XM_012216664.2,AAP2_ARATH
XM_025104117.1,A16L1_MOUSE
XM_024301271.1,A16L1_MOUSE
XM_024301271.1,A16L1_MOUSE
XM_010646402.2,A16L1_MOUSE
XM_024301271.1,A16L1_MOUSE
XM_025104117.1,A16L1_MOUSE
XM_025104117.1,A16L1_MOUSE
XM_010646402.2,A16L1_MOUSE
XM_025104117.1,A16L1_MOUSE
XM_024025721.1,A16L1_MOUSE
XM_005097290.2,A2GL_HUMAN
CP011514.1,A2GL_HUMAN
XM_010545495.2,AAPK1_PIG
XM_010545495.2,9DC3_SOLPI
XM_010247771.2,9DC3_SOLPI
AH002851.2,9DC3_SOLPI
XM_015418675.1,9DC3_SOLPI
CP025670.1,ACP1_ENTHI
CP019602.1,ABCB6_XENTR
CP019602.1,A1CF_MOUSE
CP019602.1,413R_IIV6
CP019602.1,413R_IIV6
XM_022901475.1,3MG1_ECOLI
AB126081.1,3MGA_HAEIN
XM_018415290.1,3MG1_ECOLI
XM_018415290.1,3MG1_ECOLI
XM_018415290.1,A16L1_HUMAN
XM_022004847.1,ACCR2_ARATH
XM_022004847.1,ACCR1_ARATH
XM_022004847.1,ACP1_ENTHI
XM_022004847.1,ACP1_ENTHI
XM_022004847.1,ACP1_ENTHI
XM_022004847.1,2NDP_YEAST
XM_022004847.1,ACCR3_ARATH
XM_022004847.1,ACCR1_ARATH
CP025648.1,ACCR3_ARATH
CP025648.1,ACCR1_ARATH
CP025648.1,ACCR3_ARATH
CP025648.1,ACCR3_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR1_ARATH
CP025652.1,ACCR1_ARATH
CP025652.1,ACCR1_ARATH
CP025652.1,ACCR1_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,ACCR2_ARATH
CP025652.1,9DC3_SOLPI
CP025652.1,ACCR4_ARATH
CP025652.1,ACCR4_ARATH
CP025652.1,3OAGR_LACP7
CP025652.1,ABAH3_ORYSJ
CP025652.1,ABAH3_ORYSJ
CP025652.1,ABAH3_ORYSJ
CP025652.1,ABAH3_ORYSJ
CP025652.1,ABAH3_ORYSJ
CP025652.1,ABAH3_ORYSJ
CP025652.1,ABAH3_ORYSJ
CP025652.1,ACP1_CAEBR
CP025652.1,ACAR_METS5
CP025652.1,3BHS_HORSE
CP025652.1,3BHS_CANLF
XM_013003362.1,3BHS_HORSE
XM_013003362.1,3BHS_HORSE
XM_001008073.2,86A22_PETHY
XM_001008073.2,A16L1_HUMAN
XM_017386907.1,A2GL_HUMAN
XM_021479629.1,A2GL_HUMAN
XM_021479629.1,ABCC8_DICDI
XM_012758320.2,ABCC8_DICDI
XM_009763226.1,ABC2_SCHPO
XM_009763226.1,ABC2_SCHPO
XM_009763226.1,2AAB_ARATH
XM_009763226.1,ACR4L_ARATH
XM_009763226.1,ACR4L_ARATH
XM_009763226.1,ACR4L_ARATH
XM_009763226.1,ACR4L_ARATH
NG_007726.3,ACR4L_ARATH
XM_008335980.3,ACR4L_ARATH
LT841390.1,ABAP1_ARATH
XM_018958936.1,ABAP1_ARATH
CP024087.1,10HGO_CATRO
JX427551.1,ABAMS_PEA
JX427551.1,081R_FRG3G
XM_021803121.1,AAT1_MEDSA
XM_021803121.1,AAT1_MEDSA
EU493101.1,AAT1_MEDSA
KC515069.1,AB12A_ARATH
EU493101.1,A9A1B_DANRE
XM_004339260.1,ACL1_SORMK
XM_010026792.2,ACLB1_ORYSJ
XM_010689054.2,ACL1_SCHPO
AM265616.1,ACE2_CANAL
XM_021335660.1,ACE2_CANAL
XM_025130115.1,A9A1B_DANRE
XM_023882261.1,AATPI_ARATH
CT836994.1,ABR1_ASPFU
XM_001691400.1,ABR1_ASPFU
CP029210.1,ABR1_ASPFU
CP011908.1,ABR1_ASPFU
XM_003036176.1,ACCR3_ARATH
XM_006433524.2,ACCR3_ARATH
XM_006433524.2,ACL6B_HUMAN
XM_006433524.2,ACL7B_HUMAN
XM_006433524.2,ACL7A_RAT
KC534635.1,ACL7A_RAT
XM_003872262.1,ACL7B_MOUSE
XM_003872262.1,ACL7A_BOVIN
XM_002275914.4,ACL7A_BOVIN
XM_026441151.1,ACL7A_MACFA
XM_009494239.1,ACL7A_BOVIN
XM_022144737.1,ACL7B_RAT
XM_022144737.1,ACL7B_RAT
XM_001557353.2,ACL7B_RAT
AL163285.2,ACL7B_RAT
XM_017397617.1,ACL7A_BOVIN
XM_019198918.1,ACL7A_MACFA
XM_019198918.1,ACL7A_BOVIN
XM_019198918.1,ACL7A_BOVIN
XM_019198918.1,ACL7A_BOVIN
XM_019198918.1,ACL7B_RAT
