cluster,nt,uniport,"sig  (foldchange>|4|, padj<0.001)",,,,
Cluster-90625.1_TRINITY_DN210979_c0_g2,XM_024026154.1,ACR4L_ARATH,down,,,,
Cluster-107254.0_TRINITY_DN208129_c5_g2,XM_022296727.1,ACR4L_ARATH,down,,,,
Cluster-95556.0_TRINITY_DN208294_c1_g4,XM_026555413.1,21KD_DAUCA,up,,,,
Cluster-5032.0_TRINITY_DN199893_c7_g2,XM_026544999.1,,up,,,,
Cluster-5785.0_TRINITY_DN117723_c0_g1,XM_026539726.1,,up,,,,
Cluster-80020.1_TRINITY_DN206158_c2_g1,XM_021973963.1,ACR4L_ARATH,down,,,,
Cluster-86062.1_TRINITY_DN199859_c0_g4,XM_026537489.1,,up,,,,
Cluster-100987.0_TRINITY_DN200254_c2_g1,XM_021111703.1,ACR4L_ARATH,down,,,,
Cluster-111465.0_TRINITY_DN201639_c5_g1,XM_026535605.1,ACR_MYCTU,up,,,,
Cluster-106345.0_TRINITY_DN204176_c0_g1,XM_026530903.1,,up,,,,
Cluster-100640.0_TRINITY_DN203813_c0_g5,XM_026530358.1,,up,,,,
Cluster-105140.0_TRINITY_DN211051_c5_g3,XM_026526807.1,ACP7_DANRE,up,,,,
Cluster-10092.1_TRINITY_DN210295_c1_g2,XM_026203445.1,,up,,,,
Cluster-80127.1_TRINITY_DN198976_c3_g1,XM_026162564.1,,up,,,,
Cluster-46749.0_TRINITY_DN263687_c0_g1,XM_026159700.1,,up,,,,
Cluster-111178.2_TRINITY_DN200281_c0_g1,XM_021020670.1,ACR4L_ARATH,down,,,,
Cluster-69536.0_TRINITY_DN210780_c0_g3,XM_026051569.1,,up,,,,
Cluster-70840.0_TRINITY_DN209411_c1_g2,XM_020367444.1,ACR4L_ARATH,down,,,,
Cluster-57121.1_TRINITY_DN193035_c1_g1,XM_017396132.1,ACR4L_ARATH,down,,,,
Cluster-110626.4_TRINITY_DN210886_c2_g1,XM_017331612.1,ACR4L_ARATH,down,,,,
Cluster-57121.5_TRINITY_DN208498_c2_g1,XM_016577034.1,ACR4L_ARATH,down,,,,
Cluster-104411.1_TRINITY_DN204698_c0_g1,XM_010656290.2,ACR4L_ARATH,down,,,,
Cluster-104411.0_TRINITY_DN204698_c0_g1,XM_010656290.2,ACR4L_ARATH,down,,,,
Cluster-110626.3_TRINITY_DN210886_c2_g1,XM_010536404.2,ACR4L_ARATH,down,,,,
Cluster-86057.0_TRINITY_DN206667_c0_g2,XM_010249466.2,ACR4L_ARATH,down,,,,
Cluster-56731.0_TRINITY_DN191089_c0_g1,XM_026045204.1,,up,,,,
Cluster-64900.0_TRINITY_DN200138_c0_g3,XM_025976129.1,,up,,,,
Cluster-93827.0_TRINITY_DN208160_c0_g2,XM_009341542.2,ACR4L_ARATH,down,,,,
Cluster-99543.0_TRINITY_DN201885_c1_g3,XM_008464938.2,ACR4L_ARATH,down,,,,
Cluster-86661.0_TRINITY_DN209984_c2_g5,XM_025959078.1,,up,,,,
Cluster-97636.0_TRINITY_DN208830_c3_g1,XM_025825480.1,,up,,,,
Cluster-77054.1_TRINITY_DN200697_c3_g4,XM_025824083.1,ABR1_ARATH,up,,,,
Cluster-102020.0_TRINITY_DN208189_c4_g1,NM_001332688.1,ACR4L_ARATH,down,,,,
Cluster-101176.0_TRINITY_DN204074_c0_g1,KT805576.1,ACR4L_ARATH,down,,,,
Cluster-88369.1_TRINITY_DN207489_c0_g2,CP023132.1,ACR4L_ARATH,down,,,,
Cluster-113508.4_TRINITY_DN209726_c1_g1,XM_025821309.1,,up,,,,
Cluster-95899.24_TRINITY_DN200183_c5_g1,,ACR4L_ARATH,down,,,,
Cluster-91355.0_TRINITY_DN198740_c1_g3,XM_025811404.1,,up,,,,
Cluster-98949.1_TRINITY_DN194143_c0_g1,XM_025804479.1,,up,,,,
Cluster-41758.0_TRINITY_DN196207_c5_g2,XM_025781039.1,,up,,,,
Cluster-105126.4_TRINITY_DN201371_c0_g1,XM_025761836.1,,up,,,,
Cluster-109261.1_TRINITY_DN205079_c0_g1,XM_025761608.1,,up,,,,
Cluster-97505.0_TRINITY_DN204334_c3_g3,XM_025760033.1,,up,,,,
Cluster-71886.2_TRINITY_DN207600_c1_g1,XM_025742351.1,6PGD_DICDI,up,,,,
Cluster-10817.0_TRINITY_DN195717_c5_g2,XM_025742275.1,,up,,,,
Cluster-11408.1_TRINITY_DN196567_c3_g2,XM_025740577.1,,up,,,,
Cluster-94652.1_TRINITY_DN210006_c1_g2,,ACR4L_ARATH,down,,,,
Cluster-11408.0_TRINITY_DN196567_c3_g2,XM_025740577.1,,up,,,,
Cluster-21066.0_TRINITY_DN196867_c10_g1,XM_025740058.1,,up,,,,
Cluster-90195.0_TRINITY_DN208410_c1_g2,,ACR4L_ARATH,down,,,,
Cluster-61893.6_TRINITY_DN193556_c1_g1,,ACR4L_ARATH,down,,,,
Cluster-57319.0_TRINITY_DN204074_c0_g2,,ACR4L_ARATH,down,,,,
Cluster-20158.0_TRINITY_DN201707_c6_g1,XM_025739890.1,ABH51_CAEEL,up,,,,
Cluster-1128.0_TRINITY_DN191744_c3_g1,XM_025705102.1,,up,,,,
Cluster-111420.0_TRINITY_DN204401_c0_g1,,ACR4L_ARATH,down,,,,
Cluster-65994.0_TRINITY_DN197712_c0_g5,XM_025698403.1,,up,,,,
Cluster-24163.0_TRINITY_DN194365_c6_g1,XM_025696269.1,,up,,,,
Cluster-65270.0_TRINITY_DN203852_c4_g2,,ACP2_ENTHI,down,,,,
Cluster-2008.0_TRINITY_DN265496_c0_g1,XM_025613952.1,,up,,,,
Cluster-1939.0_TRINITY_DN297159_c0_g1,XM_025565238.1,,up,,,,
Cluster-91036.1_TRINITY_DN196371_c10_g1,CP023338.1,ACP1_ENTHI,down,,,,
Cluster-31086.0_TRINITY_DN196509_c0_g4,,ACP1_ENTHI,down,,,,
Cluster-14128.1_TRINITY_DN202293_c5_g5,,ACP1_ENTHI,down,,,,
Cluster-64289.0_TRINITY_DN199342_c0_g1,LT629735.1,ACLR_ACHOB,down,,,,
Cluster-52139.60_TRINITY_DN205664_c4_g2,NM_001614.5,ACL7B_RAT,down,,,,
Cluster-50086.0_TRINITY_DN198560_c7_g3,XM_025561502.1,,up,,,,
Cluster-2246.0_TRINITY_DN203761_c2_g2,XM_025539581.1,,up,,,,
Cluster-2418.0_TRINITY_DN193243_c1_g1,XM_025539136.1,,up,,,,
Cluster-52139.185_TRINITY_DN200428_c6_g1,NM_001101.5,ACL7A_RAT,down,,,,
Cluster-64365.1136_TRINITY_DN194679_c3_g1,XM_025521901.1,,up,,,,
Cluster-52139.160_TRINITY_DN193561_c4_g1,XM_025743100.1,ACL7A_MACFA,down,,,,
Cluster-52139.2_TRINITY_DN193876_c5_g2,XM_013900052.1,ACL7A_MACFA,down,,,,
Cluster-9868.0_TRINITY_DN195288_c9_g2,XM_025499066.1,,up,,,,
Cluster-84268.0_TRINITY_DN201461_c2_g7,XM_025316212.1,,up,,,,
Cluster-71212.0_TRINITY_DN202145_c5_g1,XM_025257397.1,,up,,,,
Cluster-52139.215_TRINITY_DN193561_c4_g3,XM_001974937.3,ACL7A_MACFA,down,,,,
Cluster-50615.0_TRINITY_DN205134_c5_g1,XM_025185484.1,,up,,,,
Cluster-106573.0_TRINITY_DN200210_c4_g2,XM_025157229.1,,up,,,,
Cluster-52139.89_TRINITY_DN203649_c4_g7,XM_315269.4,ACL7A_HUMAN,down,,,,
Cluster-52139.59_TRINITY_DN198877_c0_g4,KJ905681.1,ACL7A_BOVIN,down,,,,
Cluster-95841.0_TRINITY_DN200481_c2_g1,XM_025139028.1,,up,,,,
Cluster-40837.0_TRINITY_DN199330_c5_g4,XM_009175718.1,ACL6B_RAT,down,,,,
Cluster-58282.0_TRINITY_DN200702_c3_g2,XM_026882910.1,ACL6B_HUMAN,down,,,,
Cluster-96650.0_TRINITY_DN209201_c0_g1,XM_025135548.1,,up,,,,
Cluster-92263.0_TRINITY_DN210106_c6_g1,BC023606.1,ACL6B_HUMAN,down,,,,
Cluster-52139.226_TRINITY_DN200702_c3_g3,XM_018413879.1,ACL6A_MACFA,down,,,,
Cluster-98239.0_TRINITY_DN203649_c4_g2,AK309997.1,ACL6A_MACFA,down,,,,
Cluster-114442.0_TRINITY_DN199061_c4_g1,XM_025134452.1,,up,,,,
Cluster-55102.0_TRINITY_DN201457_c7_g4,XM_023400527.1,ACL6A_HUMAN,down,,,,
Cluster-93017.0_TRINITY_DN210002_c3_g1,XM_025134286.1,ACCR4_ARATH,up,,,,
Cluster-101664.0_TRINITY_DN196366_c6_g3,XM_011586747.1,ACL6A_HUMAN,down,,,,
Cluster-7246.0_TRINITY_DN200777_c1_g1,XM_025133736.1,,up,,,,
Cluster-87970.0_TRINITY_DN203275_c1_g4,,ACH11_ARATH,down,,,,
Cluster-102688.0_TRINITY_DN202983_c2_g3,XM_025131084.1,,up,,,,
Cluster-105106.0_TRINITY_DN205653_c0_g1,,ACH10_ARATH,down,,,,
Cluster-112360.0_TRINITY_DN208690_c2_g1,XM_022892061.1,ACET6_CERPU,down,,,,
Cluster-100085.0_TRINITY_DN203507_c0_g1,XM_024166728.1,ACCR3_ARATH,down,,,,
Cluster-101793.0_TRINITY_DN210464_c1_g1,XM_024026154.1,ACCR3_ARATH,down,,,,
Cluster-106028.0_TRINITY_DN208646_c1_g3,XM_025130639.1,,up,,,,
Cluster-70840.1_TRINITY_DN209411_c1_g2,XM_020367444.1,ACCR3_ARATH,down,,,,
Cluster-104291.0_TRINITY_DN195294_c3_g2,XM_025124566.1,,up,,,,
Cluster-48754.0_TRINITY_DN193333_c0_g1,,ACCR3_ARATH,down,,,,
Cluster-104628.0_TRINITY_DN204999_c4_g1,XM_025123933.1,,up,,,,
Cluster-90932.3_TRINITY_DN197639_c7_g1,XR_002105836.1,ACCR2_ARATH,down,,,,
Cluster-114353.4_TRINITY_DN196850_c3_g1,XM_025111677.1,,up,,,,
Cluster-103635.0_TRINITY_DN196514_c4_g1,XM_025099382.1,,up,,,,
Cluster-101201.3_TRINITY_DN208566_c0_g1,XM_025098843.1,ACCC_NOSS1,up,,,,
Cluster-73133.0_TRINITY_DN202471_c6_g1,XM_025090861.1,,up,,,,
Cluster-98611.5_TRINITY_DN208563_c1_g1,XM_025075380.1,,up,,,,
Cluster-105566.0_TRINITY_DN205819_c0_g1,XM_006465727.3,ACCR1_ARATH,down,,,,
Cluster-102554.2_TRINITY_DN205317_c4_g2,XM_025074442.1,,up,,,,
Cluster-102554.0_TRINITY_DN205317_c4_g2,XM_025074442.1,,up,,,,
Cluster-110879.0_TRINITY_DN206578_c3_g7,XM_025074182.1,ABAH4_ARATH,up,,,,
Cluster-8370.1_TRINITY_DN211259_c5_g2,XM_025011954.1,,up,,,,
Cluster-36667.0_TRINITY_DN210812_c5_g1,XM_025011645.1,,up,,,,
Cluster-8621.0_TRINITY_DN195707_c2_g1,XM_024912703.1,,up,,,,
Cluster-85586.0_TRINITY_DN191672_c5_g6,XM_024898545.1,,up,,,,
Cluster-94824.0_TRINITY_DN208233_c2_g1,,ACCR1_ARATH,down,,,,
Cluster-60614.0_TRINITY_DN194759_c2_g1,XM_024859953.1,,up,,,,
Cluster-64365.87_TRINITY_DN195504_c8_g3,XM_024811500.1,,up,,,,
Cluster-110297.0_TRINITY_DN210982_c1_g1,XM_024665789.1,,up,,,,
Cluster-64365.2139_TRINITY_DN198042_c2_g2,XM_024654603.1,,up,,,,
Cluster-64365.2130_TRINITY_DN198042_c2_g2,XM_024654603.1,,up,,,,
Cluster-26296.0_TRINITY_DN202092_c0_g6,XM_024653970.1,,up,,,,
Cluster-72868.0_TRINITY_DN194156_c1_g1,XM_024652828.1,,up,,,,
Cluster-5051.0_TRINITY_DN203096_c1_g2,XM_024646386.1,,up,,,,
Cluster-107686.4_TRINITY_DN205629_c0_g1,XM_024608572.1,,up,,,,
Cluster-113374.23_TRINITY_DN196957_c1_g1,XM_024603282.1,ACLR_ACHOB,up,,,,
Cluster-95528.0_TRINITY_DN203979_c0_g1,XM_025808471.1,ACCO5_ARATH,down,,,,
Cluster-94115.0_TRINITY_DN198241_c0_g1,XM_024188347.1,ACCO3_CUCME,down,,,,
Cluster-101144.0_TRINITY_DN203505_c2_g4,XM_024601069.1,ABI5_ARATH,up,,,,
Cluster-103032.10_TRINITY_DN196393_c0_g4,XM_024596704.1,,up,,,,
Cluster-5733.0_TRINITY_DN196613_c1_g1,XM_024535029.1,,up,,,,
Cluster-48674.0_TRINITY_DN184666_c0_g1,XM_024470265.1,,up,,,,
Cluster-114587.7_TRINITY_DN206871_c2_g1,,ACCO2_MALDO,down,,,,
Cluster-88139.0_TRINITY_DN190118_c0_g1,XM_014634256.1,ACCO_MUSAC,down,,,,
Cluster-60460.0_TRINITY_DN196584_c3_g7,XM_024445961.1,3BHS2_RAT,up,,,,
Cluster-95449.2_TRINITY_DN205362_c0_g4,XM_018860352.1,ACCH9_ARATH,down,,,,
Cluster-1572.0_TRINITY_DN181218_c0_g1,XM_024410763.1,ABCA5_DICDI,up,,,,
Cluster-36303.0_TRINITY_DN266273_c0_g1,XM_024374534.1,,up,,,,
Cluster-20170.1_TRINITY_DN207661_c0_g1,,ACCH9_ARATH,down,,,,
Cluster-100251.0_TRINITY_DN195050_c3_g2,AB360381.1,ACCH3_SOLLC,down,,,,
Cluster-52262.0_TRINITY_DN194885_c0_g2,XM_024364561.1,,up,,,,
Cluster-102907.0_TRINITY_DN204345_c0_g1,XM_024338666.1,,up,,,,
Cluster-96637.0_TRINITY_DN194943_c6_g1,,ACCH3_ARATH,down,,,,
Cluster-98249.0_TRINITY_DN203876_c8_g2,XM_024337373.1,,up,,,,
Cluster-113919.0_TRINITY_DN200118_c2_g3,XM_024337373.1,,up,,,,
Cluster-68376.0_TRINITY_DN194316_c3_g1,XM_024332705.1,,up,,,,
Cluster-103671.1_TRINITY_DN198231_c0_g1,XM_024332017.1,,up,,,,
Cluster-110478.3_TRINITY_DN195512_c6_g1,XM_024331879.1,ABP20_PRUPE,up,,,,
Cluster-98653.10_TRINITY_DN209825_c1_g1,XM_024330068.1,,up,,,,
Cluster-96282.0_TRINITY_DN198827_c4_g1,XM_026537206.1,ACC2_ARATH,down,,,,
Cluster-110353.0_TRINITY_DN210563_c5_g2,XM_024326636.1,,up,,,,
Cluster-106752.5_TRINITY_DN206738_c2_g1,XM_024318934.1,,up,,,,
Cluster-106752.3_TRINITY_DN202992_c1_g2,XM_024318934.1,,up,,,,
Cluster-113369.0_TRINITY_DN207907_c3_g3,XM_018963134.1,ACBSY_ORYSJ,down,,,,
Cluster-101507.5_TRINITY_DN209429_c2_g2,XM_024318028.1,,up,,,,
Cluster-101507.10_TRINITY_DN201693_c3_g1,XM_024318028.1,,up,,,,
Cluster-112273.4_TRINITY_DN199883_c0_g2,XM_018595789.1,ACBP_RICCO,down,,,,
Cluster-107000.0_TRINITY_DN205704_c1_g2,XM_024317578.1,175R_IIV6,up,,,,
Cluster-80947.0_TRINITY_DN199539_c2_g2,,ACAR_SULTO,down,,,,
Cluster-101459.27_TRINITY_DN210486_c3_g3,XM_004498525.2,ACA8_ARATH,down,,,,
Cluster-112470.0_TRINITY_DN203853_c1_g2,XM_024307315.1,AAP8_ARATH,up,,,,
Cluster-102591.0_TRINITY_DN179881_c0_g1,XM_024306474.1,,up,,,,
Cluster-113292.0_TRINITY_DN204334_c3_g4,XM_024305799.1,,up,,,,
Cluster-114255.0_TRINITY_DN195190_c8_g1,XM_024300766.1,,up,,,,
Cluster-101459.2_TRINITY_DN208942_c2_g4,XM_018615011.1,ACA7_ORYSJ,down,,,,
Cluster-23056.0_TRINITY_DN197466_c1_g1,XM_024285358.1,,up,,,,
Cluster-31181.0_TRINITY_DN187096_c1_g1,XM_024228080.1,,up,,,,
Cluster-5394.0_TRINITY_DN210090_c1_g5,XM_024191419.1,10HGO_CATRO,up,,,,
Cluster-106689.0_TRINITY_DN199769_c2_g3,XM_024188648.1,,up,,,,
Cluster-101151.0_TRINITY_DN207785_c4_g2,XM_024175421.1,,up,,,,
Cluster-102536.0_TRINITY_DN194663_c0_g2,XM_024174133.1,AB3C_ARATH,up,,,,
Cluster-71175.1_TRINITY_DN199754_c2_g6,XM_024172512.1,AAPK2_CAEEL,up,,,,
Cluster-109977.3_TRINITY_DN206475_c1_g2,XM_024171323.1,,up,,,,
Cluster-48823.0_TRINITY_DN210972_c2_g5,XM_024159428.1,,up,,,,
Cluster-111333.0_TRINITY_DN200938_c3_g1,XM_024148998.1,ABR1_ARATH,up,,,,
Cluster-72867.6_TRINITY_DN210292_c5_g5,XM_024095482.1,AATPI_ARATH,up,,,,
Cluster-68324.0_TRINITY_DN200191_c2_g3,XM_024093989.1,AAPK2_CAEEL,up,,,,
Cluster-101459.13_TRINITY_DN210519_c5_g1,XM_020409070.1,ACA13_ARATH,down,,,,
Cluster-97001.0_TRINITY_DN200697_c3_g5,XM_024068397.1,ABR1_ARATH,up,,,,
Cluster-88026.0_TRINITY_DN172091_c0_g1,,AC53_NPVAC,down,,,,
Cluster-106881.2_TRINITY_DN207376_c4_g1,XM_024065269.1,,up,,,,
Cluster-64365.143_TRINITY_DN194785_c5_g2,XM_024058733.1,,up,,,,
Cluster-85831.8_TRINITY_DN197904_c10_g1,XM_024057480.1,,up,,,,
Cluster-98650.2_TRINITY_DN209877_c2_g1,XM_024057126.1,,up,,,,
Cluster-64365.1706_TRINITY_DN210983_c3_g1,XM_024056979.1,,up,,,,
Cluster-85229.4_TRINITY_DN205416_c3_g3,XM_024055655.1,,up,,,,
Cluster-85229.3_TRINITY_DN200006_c4_g1,XM_024055655.1,,up,,,,
Cluster-85229.2_TRINITY_DN205416_c3_g1,XM_024055655.1,,up,,,,
Cluster-85229.0_TRINITY_DN200006_c4_g1,XM_024055655.1,,up,,,,
Cluster-95779.1_TRINITY_DN205614_c2_g4,XM_024054753.1,,up,,,,
Cluster-102483.1_TRINITY_DN200379_c0_g2,XM_023678851.1,ABR2_ASPFU,down,,,,
Cluster-86718.0_TRINITY_DN208971_c1_g1,XM_024045762.1,,up,,,,
Cluster-98234.0_TRINITY_DN204997_c0_g5,XM_017762807.1,ABR2_ASPFU,down,,,,
Cluster-102646.0_TRINITY_DN206081_c3_g2,XM_024042755.1,,up,,,,
Cluster-70184.0_TRINITY_DN200934_c3_g2,XM_017381111.1,ABR2_ASPFU,down,,,,
Cluster-85491.0_TRINITY_DN206698_c7_g4,XM_024039376.1,,up,,,,
Cluster-112539.0_TRINITY_DN210396_c7_g1,,ABR17_PEA,down,,,,
Cluster-112841.5_TRINITY_DN208118_c0_g1,XM_024035613.1,,up,,,,
Cluster-101803.0_TRINITY_DN196974_c1_g1,XM_024035441.1,ABR1_ARATH,up,,,,
Cluster-105260.0_TRINITY_DN205288_c2_g2,XM_024030744.1,,up,,,,
Cluster-111252.0_TRINITY_DN205917_c2_g1,XM_024029893.1,,up,,,,
Cluster-113713.4_TRINITY_DN205191_c4_g1,XM_024029095.1,,up,,,,
Cluster-111520.0_TRINITY_DN204431_c7_g1,XM_024028482.1,,up,,,,
Cluster-64365.1714_TRINITY_DN205827_c1_g2,XM_024027623.1,,up,,,,
Cluster-94867.0_TRINITY_DN207953_c1_g1,XM_018830813.1,ABR1_ASPFU,down,,,,
Cluster-7767.2_TRINITY_DN206169_c2_g1,XM_024027027.1,6FEH_BETVU,up,,,,
Cluster-8378.0_TRINITY_DN194027_c11_g1,XM_024021198.1,,up,,,,
Cluster-44017.0_TRINITY_DN210497_c0_g1,XM_024021198.1,,up,,,,
Cluster-64365.1776_TRINITY_DN201174_c4_g1,XM_024020921.1,,up,,,,
Cluster-93952.3_TRINITY_DN205347_c1_g1,XM_024020308.1,AB4C_ARATH,up,,,,
Cluster-98699.10_TRINITY_DN208702_c0_g1,XM_024016843.1,,up,,,,
Cluster-106459.0_TRINITY_DN196119_c13_g2,XM_023911407.1,A2478_ARTBC,up,,,,
Cluster-96473.0_TRINITY_DN205903_c1_g2,XM_023910791.1,,up,,,,
Cluster-79377.1_TRINITY_DN207274_c1_g4,XM_010666755.2,ABR1_ASPFU,down,,,,
Cluster-101043.1_TRINITY_DN193988_c2_g1,XM_002300030.2,ABR1_ASPFU,down,,,,
Cluster-99359.0_TRINITY_DN211065_c5_g1,XM_023908862.1,,up,,,,
Cluster-102705.0_TRINITY_DN209564_c0_g1,XM_023905458.1,,up,,,,
Cluster-111978.0_TRINITY_DN206964_c0_g9,XM_023901078.1,,up,,,,
Cluster-64365.2317_TRINITY_DN208634_c6_g1,XM_023895359.1,,up,,,,
Cluster-5895.0_TRINITY_DN206836_c1_g4,XM_023892680.1,,up,,,,
Cluster-100909.2_TRINITY_DN199889_c1_g5,XM_006381690.2,ABR1_ARATH,down,,,,
Cluster-89876.0_TRINITY_DN186886_c0_g1,XM_023891043.1,AATPK_ARATH,up,,,,
Cluster-91189.0_TRINITY_DN199187_c2_g5,XM_023888346.1,,up,,,,
Cluster-90692.0_TRINITY_DN173016_c0_g1,,ABR1_ARATH,down,,,,
